,text
369,I bought it for 1000 rupees for that price the product is great
370,Like the product from boat and it's value of money
371,"I have been using them for a year now, they still have a great charging life, the sound quality is good , the only problem i face is during calls that the person at the other end can't hear me if i don't yell but otherwise it's great"
372,I liked the itemsI use it to hear news and songs
373,"Airdopes lagake baat karte samay meri avaaz other person ko clear voice nahi sunai deti hai. Video,audio sound, charging bhi accha hai but voice calling ka problem hai"
374,Essay to connect with phone
375,Nice product
376,Battery backup is very good.
377,"Sound, build quality and design. Hopefully this should be durable. Over all good piece"
378,Dislike because it has not good bass
379,This pod not properly seated in Ear. Drops automatically multiple time during use.
380,"Mic not good, battery life of case is also very less"
381,"Perfect as expected,Sound quality is super"
382,"Sound quality was good, but it hasn't even been 1 day and the sound is breaking when I speak over the phone with them on or when I listen to music."
383,Its easy to connect. U dnt have to do nothing. It will connect automatically when you remove from the case.  Some time  u hav to connect it manually when u keep earpods for long time disconnected. Overall gud product.
384,Noise cancelatio
385,Boat sound and bass quality best but noise cancellation call not best
386,Good
387,Right side is not working
388,Like
389,The product is showing problem.. It is not getting charged.. I would request boat team to please look in to the matter and issue us a new piece
390,Worth it the product
391,"Song and call, all sounds super clarity"
392,"Airpods are so designed and polished that, it is very difficult to bring out of the charging pad. Some easy way to design otherwise charging pins will be damaged."
393,Quality is not good. Charging issues happened after 4 months. I've to adjust my ear buds manually everytime. My ear buds are not charging and not showing the battery percentages.
394,great product..thank u amazon 🎀
395,"The microphone is not working properly, while on call"
396,Worth for the price. Not a much quality earbuds
397,Not for callingGood batteryAverage sound quality
398,Not working now
399,This product is damage and do not on
400,Bluetooth quality while riding on a motorbike gets very poor.
401,Excellent product at this price...
402,fitting issue otherwise everything is gd
403,"                    The media could not be loaded.
                "
404,Bad experience bud stopped working
405,👍
406,Sound quality not as expected
407,"The product is fine in terns of music and other things but when it comes to call quality it is not doing a good job,"
408,Superior quality
409,
410,It's sound  clarity
411,Bass sound is..not good
412,It's a nice purchase...just it sometimes while kept in charging case gets connected to the Bluetooth ...otherwise it's a nice affordable product
413,"                    The media could not be loaded.
                



 Thora slow bat Karne SE sunayi nhi deta noise cancellation nhi h"
414,2 pees shot item
415,Good produckt
416,One sided problem
417,I wan expected the sound
418,"When i call someone, they are unable to hear me due to my background noise, Poor Noise cancellation"
419,Bass is quite good .
